model,horizon,MSE,QLIKE,MAE,CRPS,coverage90,coverage50,width90,width50,winkler90,pit_mean,pit_var,mean_increment_corr,pred_increment_sd,true_increment_sd,increment_sd_ratio,level_bias,sample_increment_sd,sample_increment_corr_to_truth,sample_path_increment_lag_corr,cross_sectional_corr_rmse,common_extreme_rate,common_extreme_probability,common_extreme_brier
Hybrid-RSSM,1,0.6500997491146757,0.0006763892241687908,0.5119796150954329,0.4010267581802863,0.9475490196078431,0.7137254901960784,3.0210775625304156,1.226852128766067,3.8831782914652497,0.4796696078431373,0.05113983201749328,,,,,,,,,,,,
Hybrid-RSSM,2,1.3113014493425845,0.0013648828299332979,0.7609110429862589,0.5828695691536568,0.9389705882352941,0.6801470588235294,4.227259123393168,1.731205660880188,5.333340166659489,0.4819063725490196,0.055826554959390616,,,,,,,,,,,,
Hybrid-RSSM,3,2.0369726460311273,0.0021145319902650017,0.9814840350403197,0.7344783548149523,0.9355392156862745,0.6509803921568628,5.204724173273603,2.1288838064228592,6.458325918695349,0.47321568627450983,0.059478273087274124,,,,,,,,,,,,
Hybrid-RSSM,4,2.728549538621839,0.002821025838312178,1.155359272732613,0.8588771719420758,0.9365196078431373,0.641421568627451,6.069795802181308,2.4832307468095434,7.379620071861666,0.47052401960784307,0.060535549913254515,,,,,,,,,,,,
Hybrid-RSSM,5,3.520417795677397,0.003590362144669479,1.3367037542667028,0.9760046769185612,0.9370098039215686,0.620343137254902,6.8290268073038245,2.7886828458960133,8.223853530195592,0.46930882352941183,0.06265900070645906,,,,,,,,,,,,
Hybrid-RSSM,path,,,,,,,,,,,,0.19654992128200138,0.25517026402409854,0.7985292276249558,0.319550312244731,0.11094551612405669,2.516114765954743,0.19654992128200197,-0.49307606797915193,0.9307874396212898,0.10294117647058823,0.12903823529411765,0.06421740588235295
