horizon,HAR-IV,Hybrid-RSSM,relative_gain_vs_HARIV
1,0.0013692853797642132,0.0006763892241687676,0.5060275716335774
2,0.002179926641714725,0.0013648828299332601,0.37388588963725566
3,0.002972778351474902,0.0021145319902649245,0.2887017664079028
4,0.0038154942687845085,0.0028210258383121307,0.2606394769370688
5,0.004641597081716806,0.0035903621446694324,0.22648129911753334
